express partner,flight num,dep stn,arrv stn,cancel description,a/c type,nose,pbt,sch dep time (local),time cancel (local),hh:mm cnxl (before)/after sch dep time,ex sec
C5-Commutair,4923,MOB,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,31,2025-11-11 17:10:00,2025-11-07 15:09:02.454,(5 02:),  
C5-Commutair,4927,IAH,CRP,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,50,2025-11-10 12:09:00,2025-11-07 14:54:00.000,(3 21:),  
C5-Commutair,4927,IAH,CRP,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,42,2025-11-11 12:09:00,2025-11-07 15:16:30.781,(4 20:),  
C5-Commutair,4929,IAH,BRO,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0159,35,2025-11-11 14:35:00,2025-11-07 15:18:00.535,(4 23:),  
C5-Commutair,4929,IAH,BRO,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0131,25,2025-11-12 14:35:00,2025-11-09 12:47:22.453,(4 01:),  
C5-Commutair,4937,AVP,IAD,XF - EXTREME WEATHER,ERJ-145,0144,16,2025-11-09 19:45:00,2025-11-09 21:42:51.342,01:57,  
C5-Commutair,4940,CHO,IAD,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0196,28,2025-11-10 20:10:00,2025-11-07 16:04:00.000,(4 04:),  
C5-Commutair,4945,IAD,ITH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0193,46,2025-11-12 17:15:00,2025-11-09 13:51:41.651,(4 03:),  
C5-Commutair,4952,IAH,SHV,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0201,34,2025-11-07 10:30:00,2025-11-06 13:44:46.773,(20:45),  
C5-Commutair,4952,IAH,SHV,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,35,2025-11-11 10:30:00,2025-11-07 15:07:28.121,(4 19:),  
C5-Commutair,4952,IAH,SHV,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0182,22,2025-11-12 10:30:00,2025-11-09 12:41:16.578,(3 21:),  
C5-Commutair,4954,ITH,IAD,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0193,25,2025-11-12 19:40:00,2025-11-09 13:51:40.647,(4 05:),  
C5-Commutair,4957,SHV,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0201,40,2025-11-07 12:15:00,2025-11-06 13:44:45.480,(22:30),  
C5-Commutair,4957,SHV,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,36,2025-11-11 12:15:00,2025-11-07 15:07:27.335,(4 21:),  
C5-Commutair,4957,SHV,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0182,35,2025-11-12 12:15:00,2025-11-09 12:41:18.091,(3 23:),  
C5-Commutair,4959,GSP,IAD,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,49,2025-11-09 14:55:00,2025-11-06 18:00:45.179,(3 20:),  
C5-Commutair,4959,GSP,IAD,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,39,2025-11-11 14:55:00,2025-11-07 16:28:43.599,(4 22:),  
C5-Commutair,4962,IAD,GSP,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,46,2025-11-09 12:40:00,2025-11-06 18:00:45.920,(3 18:),  
C5-Commutair,4962,IAD,GSP,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,40,2025-11-11 12:40:00,2025-11-07 16:28:42.892,(4 20:),  
C5-Commutair,4965,IAD,AVP,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0142,12,2025-11-12 08:35:00,2025-11-09 13:49:12.438,(3 18:),  
C5-Commutair,4975,IAH,LFT,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,33,2025-11-08 12:05:00,2025-11-06 14:35:23.440,(2 21:),  
C5-Commutair,4975,IAH,LFT,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,30,2025-11-10 12:05:00,2025-11-07 14:45:00.000,(3 21:),  
C5-Commutair,4975,IAH,LFT,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0170,34,2025-11-12 12:05:00,2025-11-09 12:47:23.932,(3 23:),  
C5-Commutair,4978,LBB,IAH,XQ - FAA MANDATE AIRSPACE RESTRICTION,ERJ-145,0000,45,2025-11-10 17:10:00,2025-11-07 14:50:00.000,(4 02:),  
G7-GoJet,4167,DCA,EWR,XE - ATC STAFFING,CRJ-550,0562,49,2025-11-10 06:00:00,2025-11-10 06:22:14.499,00:22,  
G7-GoJet,4168,ORD,ABE,XF - EXTREME WEATHER,CRJ-550,0563,49,2025-11-09 18:05:00,2025-11-09 15:33:00.555,(02:32),  
G7-GoJet,4168,ORD,ABE,XE - ATC STAFFING,CRJ-550,0550,48,2025-11-10 18:05:00,2025-11-10 13:14:50.430,(04:50),  
G7-GoJet,4171,BHM,ORD,XF - EXTREME WEATHER,CRJ-550,0556,50,2025-11-09 13:42:00,2025-11-09 15:21:32.920,01:39,  
G7-GoJet,4171,BHM,ORD,XE - ATC STAFFING,CRJ-550,0502,50,2025-11-10 13:42:00,2025-11-10 13:01:28.938,(00:40),  
G7-GoJet,4172,EWR,DCA,XQ - FAA MANDATE AIRSPACE RESTRICTION,CRJ-550,0541,45,2025-11-08 11:05:00,2025-11-06 15:18:35.298,(2 19:),  
G7-GoJet,4172,EWR,DCA,XE - ATC STAFFING,CRJ-550,0562,49,2025-11-10 11:05:00,2025-11-10 06:22:33.730,(04:42),  
