time_stamp,city,station,carrier,ml_ex_ind,sched_flt_now,cnxl_flt_now,a0_flt_now,a14_flt_now,d0_flt_now_o,d0_flt_now,sched_flt_mtd,cnxl_flt_mtd,a0_flt_mtd,a14_flt_mtd,d0_flt_mtd_o,d0_flt_mtd,sched_flt_ytd,comp_flt_ytd,a0_flt_ytd,a14_flt_ytd,d0_flt_ytd_o,d0_flt_ytd,in_sched_flt_now,in_sched_flt_mtd,in_sched_flt_ytd
2025-10-30 12:56:23.523047+00:00,Line Dom,HLN,UA,Express,2,0,2,2,2,2,83,0,61,74,61,61,759,749,432,532,487,487,2,83,759
2025-10-30 12:56:23.523047+00:00,Line Dom,XNA,UA,Express,10,0,5,10,10,10,284,0,193,235,225,226,2724,2692,1817,2145,2057,2058,10,284,2725
2025-10-30 12:56:23.523047+00:00,Line Dom,DDC,UA,Express,2,0,2,2,2,2,50,0,37,42,40,40,518,502,320,387,355,355,2,50,518
2025-10-30 12:56:23.523047+00:00,Line Dom,MGW,UA,Express,2,0,1,1,2,2,58,0,35,40,40,40,604,583,364,423,444,444,2,58,604
2025-10-30 12:56:23.523047+00:00,Line Dom,SUX,UA,Express,2,0,1,1,2,2,58,0,38,46,51,51,604,595,310,406,389,389,2,58,604
2025-10-30 12:56:23.523047+00:00,Line Dom,LBF,UA,Express,1,0,0,1,1,1,49,0,28,41,44,44,517,504,296,389,378,378,1,49,517
2025-10-30 12:56:23.523047+00:00,Line Dom,MFR,UA,Express,3,0,1,2,1,1,34,0,20,30,22,22,484,481,321,401,341,341,3,34,483
2025-10-30 12:56:23.523047+00:00,Line Dom,PIA,UA,Express,6,0,4,5,6,6,170,0,73,118,122,122,1459,1444,744,1014,923,923,6,169,1460
2025-10-30 12:56:23.523047+00:00,Line Dom,SJC,UA,Express,0,0,0,0,0,0,0,0,0,0,0,0,53,53,44,50,48,48,0,0,53
2025-10-30 12:56:23.523047+00:00,Line Dom,CAK,UA,Express,4,0,2,4,4,4,112,0,69,92,92,92,1096,1081,625,794,810,810,4,112,1097
2025-10-30 12:56:23.523047+00:00,Line Dom,CYS,UA,Express,2,0,2,2,2,2,58,0,38,47,51,51,610,602,340,421,451,451,2,58,610
2025-10-30 12:56:23.523047+00:00,Line Dom,MBS,UA,Express,3,0,1,3,3,3,87,0,53,67,66,66,899,886,521,638,576,576,3,87,899
2025-10-30 12:56:23.523047+00:00,Line Dom,PSC,UA,Express,3,0,3,3,3,3,87,0,52,74,75,75,971,971,579,801,830,830,3,87,970
2025-10-30 12:56:23.523047+00:00,Line Dom,LGA,UA,Express,4,0,1,3,3,3,116,0,73,94,87,88,1699,1626,1026,1232,1144,1146,4,116,1699
2025-10-30 12:56:23.523047+00:00,Line Dom,MHT,UA,Express,2,0,1,2,1,1,33,0,17,25,28,28,638,626,354,423,485,485,2,33,639
2025-10-30 12:56:23.523047+00:00,Line Dom,COD,UA,Express,2,0,2,2,2,2,58,0,44,48,39,39,804,785,454,565,480,480,2,59,805
2025-10-30 12:56:23.523047+00:00,Line Dom,SLN,UA,Express,3,0,2,3,3,3,87,0,53,70,75,75,785,772,389,511,607,607,3,87,787
2025-10-30 12:56:23.523047+00:00,Line Int,SLP,UA,Express,2,0,1,1,1,1,58,0,37,49,53,53,510,506,252,363,419,419,2,58,510
2025-10-30 12:56:23.523047+00:00,Line Dom,SRQ,UA,Express,1,0,1,1,0,0,4,0,2,3,0,0,138,132,114,126,104,104,1,4,138
2025-10-30 12:56:23.523047+00:00,Line Dom,CAE,UA,Express,6,0,1,4,5,5,195,0,118,152,153,153,1436,1420,798,1017,956,956,6,195,1435
2025-10-30 12:56:23.523047+00:00,Line Dom,FSD,UA,Express,5,0,4,4,4,4,188,0,141,169,158,158,1950,1930,1245,1525,1356,1356,5,188,1949
2025-10-30 12:56:23.523047+00:00,Line Dom,GEG,UA,Express,4,0,3,4,4,4,113,0,69,98,96,96,989,988,644,810,824,824,4,113,989
2025-10-30 12:56:23.523047+00:00,Line Dom,LBB,UA,Express,7,0,5,7,6,6,184,0,152,167,152,152,1671,1647,1071,1233,1246,1246,7,184,1672
2025-10-30 12:56:23.523047+00:00,Line Int,OAX,UA,Express,2,0,1,1,1,1,32,0,25,28,29,29,305,302,218,252,250,250,2,32,305
2025-10-30 12:56:23.523047+00:00,Line Dom,GSO,UA,Express,7,0,4,5,6,6,250,0,165,195,181,181,2366,2318,1384,1696,1690,1690,7,249,2366
2025-10-30 12:56:23.523047+00:00,Line Dom,SGU,UA,Express,4,0,4,4,4,4,116,0,80,97,89,89,1169,1169,736,921,854,854,4,116,1169
2025-10-30 12:56:23.523047+00:00,Line Dom,SAF,UA,Express,3,0,3,3,3,3,114,0,78,101,91,91,1170,1166,747,907,862,862,3,114,1170
2025-10-30 12:56:23.523047+00:00,Line Dom,BHM,UA,Express,9,0,8,8,8,8,303,0,198,237,248,248,2713,2668,1744,2058,2017,2017,10,303,2715
2025-10-30 12:56:23.523047+00:00,Line Dom,ATY,UA,Express,1,0,1,1,1,1,29,0,19,26,24,24,90,90,55,71,61,61,1,29,90
2025-10-30 12:56:23.523047+00:00,Line Dom,BOS,UA,Express,0,0,0,0,0,0,19,0,13,13,12,12,161,145,97,119,87,87,0,19,162
2025-10-30 12:56:23.523047+00:00,Line Dom,PWM,UA,Express,7,0,6,8,5,5,262,0,187,230,217,217,2074,2012,1447,1697,1649,1649,8,261,2075
2025-10-30 12:56:23.523047+00:00,Line Dom,FAR,UA,Express,5,0,3,4,5,5,189,0,112,148,156,156,1843,1832,1013,1317,1170,1170,5,188,1844
2025-10-30 12:56:23.523047+00:00,Line Dom,LBL,UA,Express,2,0,2,2,2,2,50,0,39,41,44,44,518,502,334,394,378,378,2,50,519
2025-10-30 12:56:23.523047+00:00,Line Dom,JST,UA,Express,2,0,1,2,2,2,58,0,35,45,51,51,604,592,349,430,461,461,2,58,604
2025-10-30 12:56:23.523047+00:00,Line Dom,PHL,UA,Express,3,0,3,3,3,3,94,0,71,83,83,83,1126,1102,679,816,807,807,3,94,1125
2025-10-30 12:56:23.523047+00:00,Line Dom,EYW,UA,Express,1,0,1,1,1,1,29,0,11,20,12,12,199,196,126,160,133,133,1,29,199
2025-10-30 12:56:23.523047+00:00,Line Dom,LIT,UA,Express,11,0,6,11,6,6,342,0,239,286,264,264,3212,3162,2058,2455,2155,2155,12,343,3213
2025-10-30 12:56:23.523047+00:00,Line Dom,GJT,UA,Express,4,0,4,4,4,4,116,0,94,107,98,98,1203,1188,727,883,770,770,4,116,1203
2025-10-30 12:56:23.523047+00:00,Line Int,MTY,UA,Express,6,0,4,6,5,5,178,0,120,153,160,160,1663,1653,995,1289,1415,1415,6,178,1663
2025-10-30 12:56:23.523047+00:00,Line Dom,TUL,UA,Express,11,0,7,11,11,11,271,0,189,235,226,226,3329,3278,2085,2525,2492,2492,11,271,3328
2025-10-30 12:56:23.523047+00:00,Line Dom,LAS,UA,Express,0,0,0,0,0,0,2,0,2,2,2,2,51,51,32,47,38,38,0,2,51
2025-10-30 12:56:23.523047+00:00,Line Int,YQB,UA,Express,4,0,4,4,4,4,141,0,86,106,96,96,944,912,622,733,690,690,4,141,944
2025-10-30 12:56:23.523047+00:00,Line Dom,CHA,UA,Express,5,0,2,3,2,2,140,0,90,112,97,97,1032,1017,615,759,665,665,5,140,1033
2025-10-30 12:56:23.523047+00:00,Line Dom,XWA,UA,Express,4,0,2,3,3,3,112,0,70,94,91,91,1276,1264,710,948,875,875,4,112,1278
2025-10-30 12:56:23.523047+00:00,Line Dom,FWA,UA,Express,5,0,2,3,2,2,140,0,78,109,98,98,1239,1213,663,863,823,823,5,141,1240
2025-10-30 12:56:23.523047+00:00,Line Dom,PHX,UA,Express,2,0,1,2,2,2,106,0,65,84,91,91,848,841,582,730,664,664,2,105,846
2025-10-30 12:56:23.523047+00:00,Line Dom,SCE,UA,Express,8,0,6,7,8,8,197,0,135,162,164,164,1846,1825,1121,1398,1418,1418,8,198,1848
2025-10-30 12:56:23.523047+00:00,Line Int,QRO,UA,Express,0,0,0,0,0,0,25,0,23,25,22,22,121,120,96,111,102,102,0,25,121
2025-10-30 12:56:23.523047+00:00,Line Dom,HRL,UA,Express,4,0,2,3,4,4,116,0,90,101,99,99,1245,1208,835,975,977,977,4,116,1245
2025-10-30 12:56:23.523047+00:00,Line Dom,FOD,UA,Express,2,0,2,2,2,2,50,0,38,44,43,43,518,506,377,412,403,403,2,50,518
2025-10-30 12:56:23.523047+00:00,Line Dom,PSP,UA,Express,8,0,6,7,7,7,181,0,125,154,145,145,1717,1713,1141,1426,1340,1340,8,181,1717
2025-10-30 12:56:23.523047+00:00,Line Dom,DFW,UA,Express,0,0,0,0,0,0,28,0,18,24,20,20,704,682,439,529,480,480,0,28,702
2025-10-30 12:56:23.523047+00:00,Line Dom,BIS,UA,Express,4,0,4,4,4,4,112,0,80,90,85,85,1319,1307,745,938,846,846,4,112,1319
2025-10-30 12:56:23.523047+00:00,Line Dom,MCI,UA,Express,9,0,3,6,6,6,332,0,213,287,282,282,2682,2621,1668,2138,2110,2110,9,334,2679
2025-10-30 12:56:23.523047+00:00,Line Dom,CID,UA,Express,5,0,4,4,4,4,112,0,76,91,79,79,1179,1163,715,881,762,762,5,113,1179
2025-10-30 12:56:23.523047+00:00,Line Dom,MLI,UA,Express,6,0,5,5,5,5,174,0,97,120,134,134,1570,1553,915,1130,1096,1096,6,173,1570
2025-10-30 12:56:23.523047+00:00,Line Dom,PBI,UA,Express,0,0,0,0,0,0,25,0,16,19,22,22,259,259,174,211,187,187,0,25,258
2025-10-30 12:56:23.523047+00:00,Line Dom,BZN,UA,Express,2,0,2,2,2,2,37,0,29,35,32,32,798,792,557,670,617,617,2,37,797
